No,Name,Memo,ASIN,A,B,C,D,合計,Date
1,永田,,B019NWO6S2,1,0,0,0,1,
2,,,B019C8JVDC,1,0,0,0,1,
3,,,B019NW270Q,1,0,0,0,1,
4,,,B019NW57CG,1,0,0,0,1,
5,,,B00YH9AS3Y,1,0,0,0,1,
6,,,B01625WEAU,1,0,0,0,1,
7,,,B004UDMDUI,1,0,0,0,1,
8,,,B00FYGSK2U,1,0,0,0,1,
9,,,B0058FWBSQ,1,0,0,0,1,
10,,,B0061J1GSY,1,0,0,0,1,
11,,,B010NGZVGI,1,0,0,0,1,
12,,,B01BEUL5T4,1,0,0,0,1,
13,,NEW,B01A8I12BO,2,0,0,0,2,
14,,,B01A8I11Y2,2,0,0,0,2,
15,,,B00XXSONHM,1,0,0,0,1,
16,,,B012A47TSY,1,0,0,0,1,
17,,,B012A47RUY,1,0,0,0,1,
18,,used,B012ZINL4Q,2,0,0,0,2,
19,,,B01625WJY6,1,0,0,0,1,
20,,,B01625WMUC,1,0,0,0,1,
21,,,B013QJ4FXY,1,0,0,0,1,
22,,,B01ALCGRHG,1,0,0,0,1,
23,,,B00V9LT118,1,0,0,0,1,
24,,,B01AU74JUY,2,0,0,0,2,
25,,,B017951I8Q,1,0,0,0,1,
26,,,B00FQDJTXK,1,0,0,0,1,
27,,,B014U9OPRK,1,0,0,0,1,
28,,,B00ZQ1KMQ0,1,0,0,0,1,
29,,,B00V4HFTE0,1,0,0,0,1,
30,,,B00VSV69OG,1,0,0,0,1,
31,,,B00W6VTL42,1,0,0,0,1,
32,,,B015X4WZF0,1,0,0,0,1,
33,,,B014KP05FA,1,0,0,0,1,
34,,NEW,B015E13132,2,0,0,0,2,
35,,,B0177DRS7U,1,0,0,0,1,
36,,,B0177DRVP4,1,0,0,0,1,
37,,,B015D2Z0CC,1,0,0,0,1,
38,,,B016QCPNUW,1,0,0,0,1,
39,,,B019IB2UK4,1,0,0,0,1,
40,,,B01BEUL5QW,1,0,0,0,1,
